iter	Passed	Remaining
0	115	115875
1	169	84437
2	223	74309
3	274	68370
4	329	65473
5	384	63649
6	438	62173
7	492	61052
8	545	60072
9	600	59434
10	649	58396
11	704	57969
12	756	57439
13	810	57115
14	866	56932
15	918	56494
16	975	56432
17	1038	56657
18	1094	56490
19	1150	56354
20	1213	56565
21	1265	56244
22	1323	56231
23	1376	55985
24	1430	55790
25	1486	55693
26	1545	55698
27	1598	55487
28	1662	55648
29	1713	55409
30	1766	55232
31	1822	55133
32	1875	54962
33	1930	54857
34	1984	54712
35	2036	54525
36	2093	54479
37	2148	54397
38	2200	54219
39	2254	54110
40	2307	53980
41	2363	53914
42	2413	53716
43	2472	53726
44	2526	53611
45	2588	53679
46	2649	53728
47	2709	53740
48	2759	53560
49	2810	53394
50	2860	53229
51	2911	53082
52	2971	53088
53	3024	52981
54	3076	52856
55	3127	52721
56	3185	52706
57	3236	52567
58	3294	52547
59	3348	52462
60	3402	52374
61	3455	52277
62	3507	52164
63	3561	52083
64	3617	52039
65	3681	52101
66	3753	52270
67	3811	52240
68	3877	52322
69	3933	52265
70	3989	52196
71	4042	52101
72	4096	52023
73	4157	52029
74	4213	51962
75	4264	51850
76	4317	51753
77	4376	51730
78	4429	51641
79	4482	51547
80	4530	51403
81	4588	51365
82	4638	51247
83	4699	51246
84	4754	51182
85	4800	51017
86	4854	50942
87	4909	50876
88	4965	50822
89	5018	50744
90	5068	50626
91	5119	50528
92	5179	50509
93	5229	50400
94	5277	50276
95	5336	50248
96	5390	50184
97	5446	50133
98	5497	50030
99	5553	49984
100	5614	49978
101	5668	49902
102	5724	49856
103	5779	49795
104	5830	49696
105	5880	49597
106	5936	49545
107	6001	49567
108	6057	49516
109	6107	49415
110	6154	49292
111	6205	49200
112	6264	49175
113	6318	49109
114	6373	49046
115	6425	48963
116	6476	48875
117	6529	48801
118	6584	48748
119	6638	48682
120	6690	48605
121	6743	48527
122	6796	48458
123	6846	48370
124	6901	48313
125	6952	48223
126	7004	48146
127	7055	48062
128	7114	48038
129	7165	47950
130	7223	47916
131	7277	47853
132	7329	47782
133	7385	47732
134	7435	47644
135	7492	47600
136	7555	47591
137	7613	47556
138	7664	47477
139	7722	47439
140	7777	47382
141	7835	47341
142	7899	47342
143	7951	47265
144	8005	47202
145	8057	47129
146	8110	47065
147	8162	46990
148	8218	46937
149	8275	46893
150	8323	46799
151	8374	46719
152	8430	46671
153	8482	46600
154	8543	46577
155	8595	46506
156	8648	46436
157	8706	46396
158	8762	46347
159	8826	46338
160	8880	46275
161	8933	46209
162	8984	46133
163	9041	46090
164	9092	46011
165	9141	45930
166	9201	45897
167	9258	45851
168	9312	45789
169	9365	45723
170	9414	45642
171	9468	45578
172	9521	45514
173	9575	45454
174	9627	45386
175	9677	45307
176	9729	45237
177	9788	45203
178	9847	45168
179	9904	45122
180	9960	45068
181	10015	45015
182	10071	44963
183	10127	44912
184	10181	44854
185	10233	44786
186	10283	44707
187	10340	44661
188	10390	44583
189	10443	44520
190	10495	44455
191	10551	44405
192	10609	44360
193	10662	44297
194	10711	44220
195	10772	44190
196	10820	44106
197	10876	44056
198	10956	44100
199	11012	44048
200	11067	43993
201	11121	43935
202	11174	43873
203	11222	43788
204	11269	43705
205	11322	43641
206	11377	43585
207	11435	43544
208	11490	43487
209	11540	43413
210	11593	43352
211	11647	43292
212	11705	43250
213	11757	43185
214	11813	43133
215	11869	43080
216	11921	43017
217	11973	42951
218	12029	42898
219	12079	42828
220	12135	42776
221	12183	42696
222	12237	42637
223	12292	42586
224	12343	42515
225	12394	42447
226	12445	42382
227	12501	42329
228	12561	42292
229	12613	42228
230	12666	42165
231	12720	42110
232	12773	42048
233	12833	42009
234	12884	41941
235	12933	41869
236	12990	41823
237	13045	41765
238	13101	41717
239	13153	41654
240	13212	41612
241	13262	41539
242	13311	41468
243	13366	41413
244	13415	41340
245	13470	41288
246	13520	41217
247	13572	41155
248	13624	41093
249	13676	41030
250	13739	41000
251	13794	40947
252	13852	40901
253	13908	40847
254	13957	40777
255	14016	40734
256	14067	40670
257	14123	40619
258	14182	40575
259	14235	40516
260	14288	40457
261	14340	40393
262	14389	40322
263	14446	40275
264	14504	40228
265	14567	40197
266	14616	40128
267	14668	40064
268	14722	40007
269	14784	39972
270	14839	39917
271	14901	39884
272	14954	39823
273	15005	39758
274	15060	39704
275	15113	39645
276	15170	39597
277	15225	39542
278	15285	39502
279	15333	39428
280	15384	39363
281	15439	39311
282	15492	39252
283	15547	39196
284	15600	39138
285	15651	39073
286	15706	39020
287	15757	38956
288	15818	38916
289	15870	38856
290	15927	38806
291	15978	38741
292	16039	38702
293	16087	38632
294	16141	38575
295	16191	38508
296	16241	38444
297	16296	38389
298	16350	38332
299	16404	38277
300	16460	38226
301	16510	38160
302	16568	38112
303	16624	38060
304	16680	38010
305	16732	37948
306	16785	37889
307	16836	37827
308	16887	37764
309	16937	37700
310	16989	37640
311	17045	37587
312	17105	37543
313	17156	37483
314	17207	37420
315	17266	37374
316	17320	37318
317	17377	37268
318	17432	37215
319	17484	37154
320	17534	37090
321	17589	37036
322	17643	36979
323	17695	36919
324	17752	36870
325	17804	36810
326	17857	36751
327	17903	36680
328	17956	36622
329	18022	36590
330	18074	36530
331	18128	36475
332	18179	36414
333	18232	36355
334	18289	36305
335	18343	36250
336	18396	36192
337	18450	36136
338	18500	36073
339	18551	36010
340	18600	35946
341	18659	35900
342	18716	35849
343	18765	35785
344	18819	35729
345	18870	35668
346	18925	35613
347	18983	35567
348	19041	35519
349	19092	35458
350	19149	35406
351	19208	35361
352	19265	35311
353	19322	35261
354	19376	35204
355	19427	35144
356	19479	35085
357	19530	35023
358	19585	34969
359	19634	34905
360	19690	34853
361	19735	34782
362	19797	34740
363	19854	34691
364	19908	34634
365	19957	34570
366	20012	34518
367	20066	34462
368	20120	34405
369	20171	34345
370	20221	34283
371	20274	34226
372	20330	34175
373	20383	34117
374	20446	34078
375	20506	34031
376	20563	33982
377	20624	33937
378	20673	33874
379	20734	33830
380	20783	33765
381	20841	33718
382	20896	33663
383	20947	33603
384	21001	33548
385	21053	33489
386	21106	33432
387	21158	33373
388	21212	33319
389	21266	33263
390	21319	33205
391	21370	33145
392	21418	33081
393	21471	33025
394	21531	32978
395	21586	32924
396	21656	32894
397	21707	32834
398	21758	32773
399	21814	32721
400	21874	32674
401	21925	32614
402	21978	32557
403	22027	32495
404	22082	32441
405	22136	32387
406	22187	32327
407	22243	32274
408	22307	32233
409	22358	32175
410	22418	32127
411	22474	32075
412	22524	32013
413	22574	31952
414	22626	31894
415	22684	31845
416	22742	31796
417	22802	31748
418	22855	31691
419	22910	31638
420	22970	31591
421	23024	31535
422	23074	31475
423	23126	31417
424	23184	31367
425	23242	31317
426	23310	31281
427	23367	31229
428	23429	31185
429	23484	31129
430	23533	31069
431	23586	31012
432	23648	30966
433	23705	30915
434	23759	30859
435	23819	30812
436	23873	30756
437	23929	30703
438	23984	30649
439	24036	30591
440	24086	30531
441	24137	30471
442	24189	30414
443	24251	30369
444	24307	30315
445	24365	30266
446	24420	30212
447	24480	30164
448	24532	30105
449	24595	30060
450	24647	30002
451	24700	29946
452	24751	29887
453	24806	29833
454	24866	29784
455	24922	29731
456	24973	29672
457	25021	29610
458	25072	29551
459	25120	29488
460	25176	29436
461	25228	29379
462	25292	29335
463	25343	29276
464	25394	29216
465	25449	29162
466	25514	29120
467	25569	29066
468	25625	29013
469	25676	28954
470	25730	28899
471	25778	28836
472	25836	28786
473	25893	28734
474	25948	28679
475	26006	28629
476	26058	28571
477	26107	28510
478	26168	28462
479	26220	28406
480	26279	28355
481	26331	28297
482	26391	28249
483	26447	28196
484	26497	28136
485	26544	28073
486	26596	28016
487	26652	27962
488	26700	27901
489	26756	27848
490	26814	27797
491	26866	27740
492	26922	27687
493	26972	27627
494	27024	27570
495	27074	27510
496	27129	27456
497	27184	27402
498	27238	27347
499	27291	27291
500	27340	27231
501	27396	27177
502	27444	27116
503	27502	27065
504	27558	27012
505	27617	26962
506	27676	26912
507	27734	26860
508	27791	26808
509	27841	26749
510	27899	26698
511	27953	26642
512	28004	26584
513	28058	26529
514	28109	26472
515	28162	26416
516	28209	26354
517	28259	26295
518	28310	26237
519	28365	26183
520	28421	26130
521	28477	26077
522	28530	26021
523	28587	25968
524	28642	25914
525	28700	25863
526	28755	25808
527	28815	25759
528	28865	25700
529	28919	25645
530	28973	25590
531	29024	25533
532	29079	25478
533	29133	25423
534	29182	25364
535	29241	25313
536	29296	25259
537	29344	25199
538	29397	25143
539	29452	25089
540	29504	25032
541	29559	24978
542	29611	24922
543	29667	24868
544	29719	24811
545	29775	24758
546	29830	24704
547	29885	24649
548	29946	24600
549	30001	24546
550	30050	24487
551	30102	24431
552	30155	24375
553	30208	24319
554	30257	24260
555	30316	24209
556	30370	24154
557	30426	24101
558	30476	24043
559	30528	23986
560	30584	23933
561	30637	23877
562	30696	23826
563	30752	23773
564	30802	23715
565	30852	23656
566	30911	23605
567	30975	23558
568	31030	23504
569	31086	23451
570	31138	23394
571	31188	23336
572	31243	23282
573	31294	23225
574	31352	23173
575	31400	23114
576	31458	23062
577	31519	23012
578	31573	22957
579	31627	22902
580	31684	22850
581	31735	22793
582	31790	22738
583	31848	22686
584	31916	22641
585	31969	22586
586	32022	22530
587	32092	22486
588	32158	22439
589	32219	22389
590	32269	22331
591	32322	22276
592	32382	22225
593	32430	22166
594	32523	22137
595	32588	22089
596	32647	22038
597	32717	21994
598	32806	21961
599	32888	21925
600	32954	21878
601	33043	21845
602	33137	21817
603	33230	21787
604	33318	21753
605	33378	21701
606	33428	21643
607	33502	21600
608	33586	21563
609	33649	21513
610	33721	21469
611	33835	21451
612	33962	21441
613	34053	21408
614	34208	21415
615	34350	21413
616	34483	21405
617	34601	21387
618	34701	21358
619	34779	21316
620	34842	21264
621	34937	21232
622	35060	21216
623	35176	21196
624	35277	21166
625	35457	21184
626	35657	21212
627	35773	21190
628	35890	21169
629	35977	21129
630	36040	21075
631	36090	21014
632	36151	20959
633	36222	20911
634	36285	20857
635	36348	20803
636	36404	20745
637	36455	20684
638	36511	20627
639	36565	20568
640	36630	20515
641	36693	20461
642	36743	20400
643	36802	20344
644	36855	20284
645	36907	20225
646	36959	20165
647	37009	20104
648	37063	20045
649	37111	19983
650	37158	19920
651	37206	19858
652	37254	19796
653	37303	19735
654	37350	19673
655	37404	19614
656	37456	19554
657	37509	19496
658	37566	19438
659	37626	19383
660	37678	19323
661	37738	19268
662	37800	19214
663	37853	19155
664	37897	19091
665	37951	19032
666	38001	18972
667	38057	18914
668	38108	18855
669	38161	18796
670	38219	18739
671	38265	18677
672	38321	18619
673	38373	18560
674	38431	18504
675	38484	18445
676	38524	18380
677	38586	18325
678	38646	18270
679	38700	18212
680	38762	18157
681	38817	18099
682	38871	18041
683	38928	17984
684	38976	17923
685	39025	17863
686	39089	17809
687	39150	17754
688	39205	17696
689	39254	17636
690	39312	17579
691	39365	17521
692	39422	17464
693	39472	17404
694	39520	17343
695	39580	17288
696	39632	17229
697	39683	17169
698	39736	17111
699	39793	17054
700	39854	16999
701	39911	16942
702	39969	16886
703	40024	16828
704	40080	16771
705	40118	16706
706	40170	16647
707	40228	16591
708	40281	16532
709	40332	16473
710	40370	16409
711	40436	16356
712	40490	16298
713	40545	16240
714	40600	16183
715	40647	16122
716	40695	16062
717	40743	16002
718	40791	15942
719	40840	15882
720	40887	15821
721	40935	15761
722	40983	15701
723	41031	15641
724	41077	15581
725	41126	15521
726	41174	15461
727	41221	15401
728	41268	15341
729	41316	15281
730	41364	15221
731	41413	15162
732	41460	15102
733	41507	15042
734	41553	14981
735	41600	14922
736	41653	14864
737	41711	14808
738	41765	14750
739	41817	14692
740	41866	14633
741	41914	14574
742	41967	14516
743	42024	14460
744	42072	14400
745	42130	14344
746	42187	14288
747	42248	14233
748	42307	14177
749	42368	14122
750	42430	14068
751	42488	14012
752	42547	13956
753	42597	13897
754	42656	13842
755	42714	13786
756	42760	13726
757	42817	13669
758	42872	13613
759	42926	13555
760	42979	13498
761	43026	13438
762	43076	13380
763	43131	13323
764	43186	13266
765	43235	13207
766	43290	13150
767	43343	13093
768	43396	13035
769	43453	12979
770	43508	12922
771	43553	12863
772	43611	12807
773	43658	12747
774	43709	12689
775	43768	12634
776	43821	12576
777	43870	12518
778	43923	12461
779	43972	12402
780	44029	12346
781	44083	12289
782	44135	12231
783	44187	12174
784	44248	12118
785	44304	12062
786	44364	12007
787	44423	11951
788	44469	11892
789	44520	11834
790	44576	11778
791	44626	11720
792	44684	11664
793	44740	11607
794	44791	11549
795	44842	11492
796	44903	11437
